Random	#1#_freq	Tot_patient_with_at_least_one_mut
R47	55	453
R470	69	453
R471	66	453
R472	61	453
R473	76	453
R474	55	453
R475	52	453
R476	66	453
R477	54	453
R478	188	453
R479	72	453
R48	86	453
R480	60	453
R481	64	453
R482	64	453
R483	73	453
R484	95	453
R485	42	453
R486	68	453
R487	65	453
R488	67	453
R489	58	453
R49	78	453
R490	49	453
R491	62	453
R492	64	453
R493	68	453
R494	59	453
R495	77	453
R496	193	453
R497	66	453
R498	65	453
R499	67	453
R5	69	453
R50	59	453
R500	55	453
R501	81	453
R502	50	453
R503	53	453
R504	48	453
R505	58	453
R506	61	453
R507	63	453
R508	60	453
R509	68	453
R51	75	453
R510	57	453
R511	67	453
R512	65	453
R513	68	453
R514	52	453
R515	93	453
R516	62	453
R517	65	453
R518	86	453
R519	95	453
R52	77	453
R520	58	453
R521	66	453
R522	58	453
R523	59	453
R524	62	453
R525	63	453
R526	67	453
R527	78	453
R528	51	453
R529	72	453
R53	57	453
R530	75	453
R531	63	453
R532	89	453
R533	90	453
R534	57	453
R535	67	453
R536	74	453
R537	63	453
R538	56	453
R539	57	453
R54	66	453
R540	56	453
R541	72	453
R542	75	453
R543	77	453
R544	64	453
R545	68	453
R546	83	453
R547	62	453
R548	174	453
R549	66	453
R55	79	453
R550	73	453
R551	59	453
R552	58	453
R553	79	453
R554	70	453
R555	75	453
R556	57	453
R557	55	453
R558	72	453
R559	67	453
R56	67	453
R560	82	453
R561	69	453
R562	66	453
R563	59	453
R564	60	453
R565	55	453
R566	60	453
R567	67	453
R568	81	453
R569	64	453
R57	64	453
R570	83	453
R571	59	453
R572	41	453
R573	84	453
R574	69	453
R575	82	453
R576	52	453
R577	72	453
R578	68	453
R579	86	453
R58	51	453
R580	59	453
R581	82	453
R582	63	453
R583	58	453
R584	75	453
R585	59	453
R586	62	453
R587	75	453
R588	58	453
R589	70	453
R59	53	453
R590	69	453
R591	65	453
R592	190	453
R593	72	453
R594	171	453
R595	179	453
R596	59	453
R597	48	453
R598	94	453
R599	63	453
R6	45	453
R60	85	453
R600	67	453
R601	60	453
R602	63	453
R603	72	453
R604	61	453
R605	58	453
R606	52	453
R607	71	453
R608	72	453
R609	61	453
R61	60	453
R610	64	453
R611	64	453
R612	73	453
R613	60	453
R614	78	453
R615	71	453
R616	61	453
R617	86	453
R618	64	453
R619	47	453
R62	54	453
R620	57	453
R621	61	453
R622	68	453
R623	62	453
R624	70	453
R625	71	453
R626	58	453
R627	94	453
R628	75	453
R629	57	453
R63	74	453
R630	68	453
R631	75	453
R632	74	453
R633	63	453
R634	66	453
R635	48	453
R636	62	453
R637	62	453
R638	55	453
R639	53	453
R64	59	453
R640	65	453
R641	59	453
R642	88	453
R643	87	453
R644	56	453
R645	57	453
R646	55	453
R647	65	453
R648	77	453
R649	67	453
R65	72	453
R650	83	453
R651	63	453
R652	82	453
R653	85	453
R654	56	453
R655	81	453
R656	44	453
R657	67	453
R658	51	453
R659	59	453
R66	63	453
R660	68	453
R661	60	453
R662	59	453
R663	58	453
R664	53	453
R665	168	453
R666	51	453
R667	58	453
R668	68	453
R669	45	453
R67	69	453
R670	69	453
R671	52	453
R672	61	453
R673	68	453
R674	73	453
R675	48	453
R676	81	453
R677	66	453
R678	84	453
R679	63	453
R68	63	453
R680	77	453
R681	61	453
R682	56	453
R683	54	453
R684	85	453
R685	60	453
R686	65	453
R687	65	453
R688	72	453
R689	64	453
R69	78	453
R690	78	453
R691	74	453
R692	75	453
R693	62	453
R694	67	453
R695	62	453
R696	57	453
R697	47	453
R698	62	453
R699	71	453
R7	69	453
R70	68	453
R700	67	453
R701	68	453
R702	82	453
R703	74	453
R704	62	453
R705	51	453
R706	93	453
R707	55	453
R708	62	453
R709	53	453
R71	47	453
R710	50	453
R711	65	453
R712	51	453
R713	56	453
R714	68	453
R715	46	453
R716	71	453
R717	58	453
R718	53	453
R719	75	453
R72	64	453
R720	59	453
R721	73	453
R722	62	453
R723	77	453
R724	66	453
R725	70	453
R726	64	453
R727	78	453
R728	73	453
R729	71	453
R73	62	453
R730	67	453
R731	64	453
R732	81	453
R733	67	453
R734	63	453
R735	70	453
R736	79	453
R737	62	453
R738	73	453
R739	59	453
R74	80	453
R740	69	453
R741	53	453
R742	86	453
R743	62	453
R744	63	453
R745	59	453
R746	69	453
R747	68	453
R748	75	453
R749	77	453
R75	76	453
R750	71	453
R751	64	453
R752	79	453
R753	67	453
R754	65	453
R755	68	453
R756	69	453
R757	61	453
R758	88	453
R759	55	453
R76	74	453
R760	55	453
R761	95	453
R762	73	453
R763	69	453
R764	68	453
R765	50	453
R766	68	453
R767	61	453
R768	53	453
R769	78	453
R77	59	453
R770	86	453
R771	61	453
R772	43	453
R773	56	453
R774	61	453
R775	73	453
R776	65	453
R777	57	453
R778	108	453
R779	56	453
R78	68	453
R780	57	453
R781	56	453
R782	89	453
R783	66	453
R784	172	453
R785	62	453
R786	59	453
R787	56	453
R788	45	453
R789	50	453
R79	61	453
R790	65	453
R791	74	453
R792	89	453
R793	65	453
R794	61	453
R795	64	453
R796	52	453
R797	59	453
R798	59	453
R799	56	453
R8	63	453
R80	61	453
R800	64	453
R801	58	453
R802	68	453
R803	62	453
R804	58	453
R805	71	453
R806	68	453
R807	67	453
R808	67	453
R809	64	453
R81	75	453
R810	64	453
R811	54	453
R812	44	453
R813	58	453
R814	70	453
R815	73	453
R816	57	453
R817	101	453
R818	51	453
R819	68	453
R82	62	453
R820	72	453
R821	59	453
R822	47	453
R823	74	453
R824	77	453
R825	57	453
R826	78	453
R827	50	453
R828	70	453
R829	65	453
R83	58	453
R830	81	453
R831	67	453
R832	89	453
R833	56	453
R834	75	453
R835	73	453
R836	75	453
R837	84	453
R838	65	453
R839	61	453
R84	69	453
R840	62	453
R841	80	453
R842	66	453
R843	64	453
R844	46	453
R845	70	453
R846	72	453
R847	61	453
R848	74	453
R849	59	453
R85	77	453
R850	86	453
R851	61	453
R852	51	453
R853	50	453
R854	62	453
R855	64	453
R856	71	453
R857	73	453
R858	74	453
R859	71	453
R86	63	453
R860	68	453
R861	60	453
R862	61	453
R863	187	453
R864	49	453
R865	55	453
R866	70	453
R867	72	453
R868	76	453
R869	60	453
R87	58	453
R870	69	453
R871	39	453
R872	50	453
R873	76	453
R874	50	453
R875	69	453
R876	60	453
R877	47	453
R878	65	453
R879	72	453
R88	74	453
R880	64	453
R881	64	453
R882	65	453
R883	67	453
R884	75	453
R885	62	453
R886	70	453
R887	66	453
R888	73	453
R889	58	453
R89	53	453
R890	58	453
R891	99	453
R892	69	453
R893	62	453
R894	62	453
R895	57	453
R896	75	453
R897	66	453
R898	69	453
R899	62	453
R9	52	453
R90	58	453
R900	51	453
R901	65	453
R902	66	453
R903	59	453
R904	63	453
R905	67	453
R906	55	453
R907	59	453
R908	69	453
R909	61	453
R91	67	453
R910	61	453
R911	66	453
R912	67	453
R913	79	453
R914	58	453
R915	56	453
R916	172	453
R917	63	453
R918	70	453
R919	73	453
R92	47	453
R920	67	453
R921	66	453
R922	57	453
R923	65	453
R924	169	453
R925	71	453
R926	74	453
R927	65	453
R928	58	453
R929	67	453
R93	88	453
R930	61	453
R931	63	453
R932	71	453
R933	69	453
R934	76	453
R935	45	453
R936	61	453
R937	81	453
R938	66	453
R939	69	453
R94	52	453
R940	84	453
R941	71	453
R942	54	453
R943	45	453
R944	71	453
R945	88	453
R946	70	453
R947	65	453
R948	67	453
R949	104	453
R95	46	453
R950	60	453
R951	55	453
R952	71	453
R953	53	453
R954	52	453
R955	58	453
R956	94	453
R957	57	453
R958	56	453
R959	78	453
R96	64	453
R960	61	453
R961	75	453
R962	76	453
R963	63	453
R964	63	453
R965	44	453
R966	65	453
R967	75	453
R968	75	453
R969	63	453
R97	70	453
R970	70	453
R971	75	453
R972	51	453
R973	75	453
R974	77	453
R975	59	453
R976	58	453
R977	65	453
R978	64	453
R979	59	453
R98	72	453
R980	76	453
R981	63	453
R982	66	453
R983	68	453
R984	48	453
R985	55	453
R986	59	453
R987	66	453
R988	175	453
R989	61	453
R99	67	453
R990	51	453
R991	52	453
R992	50	453
R993	61	453
R994	57	453
R995	59	453
R996	79	453
R997	61	453
R998	80	453
R999	56	453
